Level,Date and Time,Source,Event ID,Task Category
Information,9/24/2024 2:08:18 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	
Error Code:	0x0"
Information,9/24/2024 2:08:18 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	
Error Code:	0x0"
Information,9/24/2024 2:11:18 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	
Error Code:	0x0"
Information,9/24/2024 2:08:18 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	
Error Code:	0x0"
Information,9/24/2024 2:11:18 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	
Error Code:	0x0"
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:08:18 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	
Error Code:	0x0"
Information,9/24/2024 2:11:18 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	
Error Code:	0x0"
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0x0"
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:52 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:52 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:52 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:52 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:52 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:52 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:52 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:52 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:08:18 PM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		S-1-5-21-3792037069-2078677046-3387239386-1000
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D
	Logon ID:		0x7C65BA

Event in sequence:		1 of 1

Group Membership:			
		S-1-5-21-3792037069-2078677046-3387239386-513
		Everyone
		NT AUTHORITY\Local account and member of Administrators group
		BUILTIN\Users
		BUILTIN\Administrators
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		NT AUTHORITY\Local account
		NT AUTHORITY\NTLM Authentication
		Mandatory Label\High Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Information,9/24/2024 2:08:18 PM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		S-1-5-21-3792037069-2078677046-3387239386-1000
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D
	Logon ID:		0x7C660C

Event in sequence:		1 of 1

Group Membership:			
		S-1-5-21-3792037069-2078677046-3387239386-513
		Everyone
		NT AUTHORITY\Local account and member of Administrators group
		BUILTIN\Users
		BUILTIN\Administrators
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		NT AUTHORITY\Local account
		NT AUTHORITY\NTLM Authentication
		Mandatory Label\High Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Information,9/24/2024 2:11:18 PM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		S-1-5-21-3792037069-2078677046-3387239386-1000
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D
	Logon ID:		0x8789A8

Event in sequence:		1 of 1

Group Membership:			
		S-1-5-21-3792037069-2078677046-3387239386-513
		Everyone
		NT AUTHORITY\Local account and member of Administrators group
		BUILTIN\Users
		BUILTIN\Administrators
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		NT AUTHORITY\Local account
		NT AUTHORITY\NTLM Authentication
		Mandatory Label\High Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Information,9/24/2024 2:08:18 PM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		S-1-5-21-3792037069-2078677046-3387239386-1000
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D
	Logon ID:		0x7C6584

Event in sequence:		1 of 1

Group Membership:			
		S-1-5-21-3792037069-2078677046-3387239386-513
		Everyone
		NT AUTHORITY\Local account and member of Administrators group
		BUILTIN\Users
		BUILTIN\Administrators
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		NT AUTHORITY\Local account
		NT AUTHORITY\NTLM Authentication
		Mandatory Label\High Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		S-1-5-21-3792037069-2078677046-3387239386-1000
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D
	Logon ID:		0x78BB92

Event in sequence:		1 of 1

Group Membership:			
		S-1-5-21-3792037069-2078677046-3387239386-513
		Everyone
		NT AUTHORITY\Local account and member of Administrators group
		BUILTIN\Users
		BUILTIN\Administrators
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		NT AUTHORITY\Local account
		NT AUTHORITY\NTLM Authentication
		Mandatory Label\High Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Information,9/24/2024 2:11:18 PM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		S-1-5-21-3792037069-2078677046-3387239386-1000
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D
	Logon ID:		0x8792DA

Event in sequence:		1 of 1

Group Membership:			
		S-1-5-21-3792037069-2078677046-3387239386-513
		Everyone
		NT AUTHORITY\Local account and member of Administrators group
		BUILTIN\Users
		BUILTIN\Administrators
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		NT AUTHORITY\Local account
		NT AUTHORITY\NTLM Authentication
		Mandatory Label\High Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Information,9/24/2024 2:08:52 PM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		SYSTEM
	Account Name:		EC2AMAZ-0TD157D$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Type:			5

New Logon:
	Security ID:		SYSTEM
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Event in sequence:		1 of 1

Group Membership:			
		BUILTIN\Administrators
		Everyone
		NT AUTHORITY\Authenticated Users
		Mandatory Label\System Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Information,9/24/2024 2:11:18 PM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		S-1-5-21-3792037069-2078677046-3387239386-1000
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D
	Logon ID:		0x8790F8

Event in sequence:		1 of 1

Group Membership:			
		S-1-5-21-3792037069-2078677046-3387239386-513
		Everyone
		NT AUTHORITY\Local account and member of Administrators group
		BUILTIN\Users
		BUILTIN\Administrators
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		NT AUTHORITY\Local account
		NT AUTHORITY\NTLM Authentication
		Mandatory Label\High Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Information,9/24/2024 2:08:18 PM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		S-1-5-21-3792037069-2078677046-3387239386-1000
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D
	Logon ID:		0x7C641F

Event in sequence:		1 of 1

Group Membership:			
		S-1-5-21-3792037069-2078677046-3387239386-513
		Everyone
		NT AUTHORITY\Local account and member of Administrators group
		BUILTIN\Users
		BUILTIN\Administrators
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		NT AUTHORITY\Local account
		NT AUTHORITY\NTLM Authentication
		Mandatory Label\High Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Information,9/24/2024 2:11:18 PM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		S-1-5-21-3792037069-2078677046-3387239386-1000
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D
	Logon ID:		0x8791DA

Event in sequence:		1 of 1

Group Membership:			
		S-1-5-21-3792037069-2078677046-3387239386-513
		Everyone
		NT AUTHORITY\Local account and member of Administrators group
		BUILTIN\Users
		BUILTIN\Administrators
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		NT AUTHORITY\Local account
		NT AUTHORITY\NTLM Authentication
		Mandatory Label\High Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Information,9/24/2024 2:05:05 PM,Microsoft-Windows-Eventlog,1102,Log clear,"The audit log was cleared.
Subject:
	Security ID:	SYSTEM
	Account Name:	SYSTEM
	Domain Name:	NT AUTHORITY
	Logon ID:	0x3E7"
Information,9/24/2024 2:12:21 PM,Microsoft-Windows-Security-Auditing,4634,Logoff,"An account was logged off.

Subject:
	Security ID:		S-1-5-21-3792037069-2078677046-3387239386-1000
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D
	Logon ID:		0x8789A8

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer."
Information,9/24/2024 2:11:19 PM,Microsoft-Windows-Security-Auditing,4634,Logoff,"An account was logged off.

Subject:
	Security ID:		S-1-5-21-3792037069-2078677046-3387239386-1000
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D
	Logon ID:		0x7C641F

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer."
Information,9/24/2024 2:06:30 PM,Microsoft-Windows-Security-Auditing,4625,Logon,"An account failed to log on.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

Account For Which Logon Failed:
	Security ID:		NULL SID
	Account Name:		Jsmith
	Account Domain:		EC2AMAZ-0TD157D

Failure Information:
	Failure Reason:		Unknown user name or bad password.
	Status:			0xC000006D
	Sub Status:		0xC000006A

Process Information:
	Caller Process ID:	0x0
	Caller Process Name:	-

Network Information:
	Workstation Name:	KALI
	Source Network Address:	10.1.1.42
	Source Port:		49592

Detailed Authentication Information:
	Logon Process:		NtLmSsp 
	Authentication Package:	NTLM
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon request fails. It is generated on the computer where access was attempted.

The Subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The Logon Type field indicates the kind of logon that was requested. The most common types are 2 (interactive) and 3 (network).

The Process Information fields indicate which account and process on the system requested the logon.

The Network Information fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The authentication information fields provide detailed information about this specific logon request.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Information,9/24/2024 2:08:52 PM,Microsoft-Windows-Security-Auditing,4624,Logon,"An account was successfully logged on.

Subject:
	Security ID:		SYSTEM
	Account Name:		EC2AMAZ-0TD157D$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		5
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SYSTEM
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x280
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
